Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
2268,8dc,"Radio Tech 8","T","Radio Tech 8","Public Works","Radio Technicians"
2269,8dd,"Radio Tech 9","T","Radio Tech 9","Public Works","Radio Technicians"
2270,8de,"Radio Tech 10","T","Radio Tech 10","Public Works","Radio Technicians"
2400,960,"EMS DISP","TE","EMS Dispatch","EMS Dispatch","Honolulu Fire/EMS"
2401,961,"EMS E2 TAC 1","TE","E1 Tac 1","EMS-Tac","Honolulu Fire/EMS"
2402,962,"EMS E2 TAC 1","TE","E2 Tac 1","EMS-Tac","Honolulu Fire/EMS"
2403,963,"EMS E3 TAC 1","TE","E3 Tac 1","EMS-Tac","Honolulu Fire/EMS"
2404,964,"EMS E1 TAC 2","TE","E1 Tac 2","EMS-Tac","Honolulu Fire/EMS"
2405,965,"EMS E2 TAC 2","TE","E2 Tac 2","EMS-Tac","Honolulu Fire/EMS"
2406,966,"EMS E3 TAC 2","TE","E3 Tac 2","EMS-Tac","Honolulu Fire/EMS"
2422,976,"TRIP HOSP","TE","Tripler Hospital","Hospital","Medicom"
2427,97b,"PALI MONA","TE","Pali Mona Hospital","Hospital","Medicom"
2500,9c4,"OS DISP","TE","Ocean Safety Dispatch","EMS Dispatch","Ocean Safety and Lifeguard Services"
2501,9c5,"OS 1","TE","Ocean Safety 1","EMS-Tac","Ocean Safety and Lifeguard Services"
2502,9c6,"OS 2","TE","Ocean Safety 2","EMS-Tac","Ocean Safety and Lifeguard Services"
2503,9c7,"OS 3","TE","Ocean Safety 3","EMS-Tac","Ocean Safety and Lifeguard Services"
2504,9c8,"OS 4","TE","Ocean Safety 4","EMS-Tac","Ocean Safety and Lifeguard Services"
2505,9c9,"OS 1 TALK","TE","Ocean Safety 1 Talk","EMS-Talk","Ocean Safety and Lifeguard Services"
2506,9ca,"OS 2 TALK","TE","Ocean Safety 2 Talk","EMS-Talk","Ocean Safety and Lifeguard Services"
2507,9cb,"OS 3 TALK","TE","Ocean Safety 3 Talk","EMS-Talk","Ocean Safety and Lifeguard Services"
2508,9cc,"OS 4 TALK","TE","Ocean Safety 4 Talk","EMS-Talk","Ocean Safety and Lifeguard Services"
2602,a2a,"HFD B1 TAC 3","TE","Battalion 1: Tac 3","Fire-Tac","Honolulu Fire/EMS"
2603,a2b,"HFD B1 TAC 4","TE","Battalion 1: Tac 4","Fire-Tac","Honolulu Fire/EMS"
2604,a2c,"HFD B1 TAC 5","TE","Battalion 1: Tac 5","Fire-Tac","Honolulu Fire/EMS"
2609,a31,"HFD B2 TAC 3","TE","Battalion 2: Tac 3","Fire-Tac","Honolulu Fire/EMS"
2610,a32,"HFD B2 TAC 4","TE","Battalion 2: Tac 4","Fire-Tac","Honolulu Fire/EMS"
2611,a33,"HFD B2 TAC 5","TE","Battalion 2: Tac 5","Fire-Tac","Honolulu Fire/EMS"
2616,a38,"HFD B3 TAC 3","TE","Battalion 3: Tac 3","Fire-Tac","Honolulu Fire/EMS"
2617,a39,"HFD B3 TAC 4","TE","Battalion 3: Tac 4","Fire-Tac","Honolulu Fire/EMS"
2618,a3a,"HFD B3 TAC 5","TE","Battalion 3: Tac 5","Fire-Tac","Honolulu Fire/EMS"
2623,a3f,"HFD B4 TAC 3","TE","Battalion 4: Tac 3","Fire-Tac","Honolulu Fire/EMS"
2624,a40,"HFD B4 TAC 4","TE","Battalion 4: Tac 4","Fire-Tac","Honolulu Fire/EMS"
2625,a41,"HFD B4 TAC 5","TE","Battalion 4: Tac 5","Fire-Tac","Honolulu Fire/EMS"
2630,a46,"HFD B5 TAC 3","TE","Battalion 5: Tac 3","Fire-Tac","Honolulu Fire/EMS"
2631,a47,"HFD B5 TAC 4","TE","Battalion 5: Tac 4","Fire-Tac","Honolulu Fire/EMS"
2632,a48,"HFD B5 TAC 5","TE","Battalion 5: Tac 5","Fire-Tac","Honolulu Fire/EMS"
2651,a5b,"HFD ISLAND 1","TE","Islandwide Tac 1","Fire-Tac","Honolulu Fire/EMS"
2652,a5c,"HFD ISLAND 2","TE","Islandwide Tac 2","Fire-Tac","Honolulu Fire/EMS"
2666,a6a,"HFD B1 TAC 1","TE","Battalion 1: Tac 1","Fire-Tac","Honolulu Fire/EMS"
2667,a6b,"HFD B1 TAC 2","TE","Battalion 1: Tac 2","Fire-Tac","Honolulu Fire/EMS"
2668,a6c,"HFD B2 TAC 1","TE","Battalion 2: Tac 1","Fire-Tac","Honolulu Fire/EMS"
2669,a6d,"HFD B2 TAC 2","TE","Battalion 2: Tac 2","Fire-Tac","Honolulu Fire/EMS"
2670,a6e,"HFD B3 TAC 1","TE","Battalion 3: Tac 1","Fire-Tac","Honolulu Fire/EMS"
2671,a6f,"HFD B3 TAC 2","TE","Battalion 3: Tac 2","Fire-Tac","Honolulu Fire/EMS"
2672,a70,"HFD B4 TAC 1","TE","Battalion 4: Tac 1","Fire-Tac","Honolulu Fire/EMS"
2673,a71,"HFD B4 TAC 2","TE","Battalion 4: Tac 2","Fire-Tac","Honolulu Fire/EMS"
2674,a72,"HFD B5 TAC 1","TE","Battalion 5: Tac 1","Fire-Tac","Honolulu Fire/EMS"
2675,a73,"HFD B5 TAC 2","TE","Battalion 5: Tac 2","Fire-Tac","Honolulu Fire/EMS"
2680,a78,"HFD FIRE DISP","TE","Fire Dispatch","Fire Dispatch","Honolulu Fire/EMS"
2700,a8c,"DEM COM","TE","DEM Common","Emergency Ops","Department of Emergency Management"
2701,a8d,"DEM PATCH 1","TE","EM-PAT 1","Emergency Ops","Department of Emergency Management"
2702,a8e,"DEM PATCH 2","TE","EM-PAT 2","Emergency Ops","Department of Emergency Management"
2703,a8f,"DEM PATCH 3","TE","EM-PAT 3","Emergency Ops","Department of Emergency Management"
2704,a90,"DEM PATCH 4","TE","EM-PAT 4","Emergency Ops","Department of Emergency Management"
2705,a91,"DEM PATCH 5","TE","EM-PAT 5","Emergency Ops","Department of Emergency Management"
2706,a92,"DEM PATCH 6","TE","EM-PAT 6","Emergency Ops","Department of Emergency Management"
2707,a93,"DEM PATCH 7","TE","EM-PAT 7","Emergency Ops","Department of Emergency Management"
2708,a94,"DEM PATCH 8","TE","EM-PAT 8","Emergency Ops","Department of Emergency Management"
2801,af1,"HART 1","T","Rail Transit Control","Transportation","Honolulu Authority for Rapid Transportation"
2802,af2,"HART 2","T","Rail Yard Control","Transportation","Honolulu Authority for Rapid Transportation"
2803,af3,"HART 3","T","Rail Transit Ops 3","Transportation","Honolulu Authority for Rapid Transportation"
2804,af4,"HART 4","T","Rail Transit Ops 4","Transportation","Honolulu Authority for Rapid Transportation"
2807,af7,"HART 7","T","Rail Transit Ops Main","Transportation","Honolulu Authority for Rapid Transportation"
2810,afa,"BUS FLEET","T","Bus Fleet ","Transportation","Oahu Transit Services "
2811,afb,"BUS 1","T","Bus Operations 1","Transportation","Oahu Transit Services "
2812,afc,"BUS 2","T","Bus Operations 2","Transportation","Oahu Transit Services "
2813,afd,"BUS 3","T","Bus Operations 3","Transportation","Oahu Transit Services "
2814,afe,"BUS 4","T","Bus Operations 4","Transportation","Oahu Transit Services "
2815,aff,"BUS 5","T","Bus Operations 5","Transportation","Oahu Transit Services "
2816,b00,"BUS 6","T","Bus Operations 6","Transportation","Oahu Transit Services "
2817,b01,"BUS SUPV","T","Bus Supervisors","Transportation","Oahu Transit Services "
2820,b04,"BUS COVERT 3","T","Bus Covert 3","Transportation","Oahu Transit Services "
2975,b9f,"ZOO OPS","D","Operations","Public Works","Honolulu Zoo"
